County/State,Population
"Autauga County, Alabama",55200
"Baldwin County, Alabama",208107
"Barbour County, Alabama",25782
"Bibb County, Alabama",22527
"Blount County, Alabama",57645
"Bullock County, Alabama",10352
"Butler County, Alabama",20025
"Calhoun County, Alabama",115098
"Chambers County, Alabama",33826
"Cherokee County, Alabama",25853
"Chilton County, Alabama",43930
"Choctaw County, Alabama",13075
"Clarke County, Alabama",24387
"Clay County, Alabama",13378
"Cleburne County, Alabama",14938
"Coffee County, Alabama",51288
"Colbert County, Alabama",54495
"Conecuh County, Alabama",12514
"Coosa County, Alabama",10855
"Covington County, Alabama",37351
"Crenshaw County, Alabama",13865
"Cullman County, Alabama",82313
"Dale County, Alabama",49255
"Dallas County, Alabama",40029
"DeKalb County, Alabama",71200
"Elmore County, Alabama",81212
"Escambia County, Alabama",37328
"Etowah County, Alabama",102939
"Fayette County, Alabama",16585
"Franklin County, Alabama",31542
"Geneva County, Alabama",26491
"Greene County, Alabama",8426
"Hale County, Alabama",14887
"Henry County, Alabama",17124
"Houston County, Alabama",104352
"Jackson County, Alabama",52094
"Jefferson County, Alabama",659892
"Lamar County, Alabama",13933
"Lauderdale County, Alabama",92585
"Lawrence County, Alabama",33171
"Lee County, Alabama",159287
"Limestone County, Alabama",93052
"Lowndes County, Alabama",10236
"Macon County, Alabama",19054
"Madison County, Alabama",357560
"Marengo County, Alabama",19538
"Marion County, Alabama",29965
"Marshall County, Alabama",95145
"Mobile County, Alabama",414659
"Monroe County, Alabama",21512
"Montgomery County, Alabama",226941
"Morgan County, Alabama",119122
"Perry County, Alabama",9486
"Pickens County, Alabama",20298
"Pike County, Alabama",33403
"Randolph County, Alabama",22574
"Russell County, Alabama",58213
"St. Clair County, Alabama",87306
"Shelby County, Alabama",211261
"Sumter County, Alabama",12985
"Talladega County, Alabama",80565
"Tallapoosa County, Alabama",40636
"Tuscaloosa County, Alabama",206213
"Walker County, Alabama",64493
"Washington County, Alabama",16643
"Wilcox County, Alabama",10809
"Winston County, Alabama",23875
"Aleutians East Borough, Alaska",3425
"Aleutians West Census Area, Alaska",5750
"Anchorage Municipality, Alaska",296112
"Bethel Census Area, Alaska",18040
"Bristol Bay Borough, Alaska",890
"Denali Borough, Alaska",2232
"Dillingham Census Area, Alaska",4975
"Fairbanks North Star Borough, Alaska",99653
"Haines Borough, Alaska",2518
"Hoonah-Angoon Census Area, Alaska",2132
"Juneau City and Borough, Alaska",32330
"Kenai Peninsula Borough, Alaska",58220
